Name,Act
1520651,6.00
1520650,6.00
1520649,6.00
1520995,6.00
1520994,6.00
1520993,6.00
1520992,6.00
1520991,6.00
1520990,6.00
1520989,6.00
1520988,6.00
1520987,6.00
1520986,6.00
1520985,6.00
1520984,6.00
1520983,6.00
1520982,6.00
1520981,6.00
1520980,6.00
1520979,6.00
1520978,6.00
1520977,6.00
1520976,6.00
1520975,6.00
1520974,6.00
1520973,6.00
1520972,6.00
1520971,6.00
1520970,6.00
1520969,6.00
1520968,6.00
1520967,6.00
1516232,6.00
1516231,6.00
1516230,6.00
1516229,6.00
1516228,6.00
1516227,6.00
1516226,6.00
1516225,6.00
1516224,6.00
1516223,6.00
1516222,6.00
1516221,6.00
1516220,6.00
1516219,6.00
1516218,6.00
1516217,6.00
1516216,6.00
1516215,6.00
1516214,6.00
1516213,6.00
1516212,6.01
1516211,6.01
1516210,6.02
1516209,6.02
1516208,6.03
1516207,6.03
1516206,6.03
1516205,6.04
1520997,6.04
1520996,6.04
1516526,6.04
1516525,6.05
1516258,6.05
1516257,6.05
1516256,6.07
1516255,6.08
1516254,6.08
1516253,6.08
1516252,6.09
1516251,6.09
1516250,6.09
1516249,6.09
1516248,6.09
1516247,6.09
1516246,6.09
1516245,6.11
1516244,6.11
1516243,6.11
1516242,6.11
1516241,6.11
1516240,6.11
1516239,6.11
1516238,6.11
1516237,6.11
1516236,6.12
1516235,6.12
1516234,6.13
1516233,6.13
1516558,6.13
1516557,6.13
1516556,6.13
1516555,6.13
1516554,6.14
1516553,6.14
1516552,6.14
1516551,6.14
1516550,6.15
1516549,6.15
1516548,6.15
1516547,6.16
1516546,6.17
1516545,6.17
1516544,6.17
1516543,6.18
1516542,6.18
1516541,6.18
1516540,6.20
1516539,6.20
1516538,6.21
1516537,6.22
1516536,6.22
1516535,6.23
1516534,6.24
1516533,6.24
1516532,6.24
1516531,6.24
1516530,6.24
1516529,6.25
1516528,6.26
1516527,6.26
1516868,6.27
1516867,6.27
1516866,6.27
1516865,6.27
1516864,6.27
1516863,6.28
1516862,6.28
1516584,6.28
1516583,6.29
1516582,6.29
1516581,6.29
1516580,6.30
1516579,6.30
1516578,6.31
1516577,6.31
1516576,6.31
1516575,6.32
1516574,6.32
1516573,6.32
1516572,6.32
1516571,6.33
1516570,6.33
1516569,6.33
1516568,6.33
1516567,6.33
1516566,6.33
1516565,6.35
1516564,6.35
1516563,6.35
1516562,6.35
1516561,6.35
1516560,6.37
1516559,6.37
1516900,6.37
1516899,6.37
1516898,6.37
1516897,6.38
1516896,6.38
1516895,6.38
1516894,6.39
1516893,6.39
1516892,6.40
1516891,6.40
1516890,6.40
1516889,6.41
1516888,6.41
1516887,6.41
1516886,6.42
1516885,6.42
1516884,6.42
1516883,6.43
1516882,6.43
1516881,6.43
1516880,6.44
1516879,6.44
1516878,6.44
1516877,6.46
1516876,6.46
1516875,6.46
1516874,6.46
1516873,6.47
1516872,6.47
1516871,6.47
1516870,6.47
1516869,6.47
1517234,6.48
1517233,6.48
1517232,6.48
1517231,6.48
1517230,6.49
1517229,6.49
1517228,6.49
1517227,6.51
1517226,6.51
1517225,6.51
1517224,6.51
1517223,6.52
1517222,6.52
1517221,6.52
1517220,6.52
1517219,6.52
1517218,6.52
1517217,6.52
1517216,6.52
1516914,6.52
1516913,6.52
1516912,6.52
1516911,6.52
1516910,6.52
1516909,6.52
1516908,6.52
1516907,6.55
1516906,6.55
1516905,6.57
1516904,6.57
1516903,6.57
1516902,6.57
1516901,6.58
1517263,6.58
1517262,6.58
1517261,6.58
1517260,6.58
1517259,6.60
1517258,6.60
1517257,6.60
1517256,6.62
1517255,6.62
1517254,6.62
1517253,6.62
1517252,6.62
1517251,6.62
1517250,6.62
1517249,6.64
1517248,6.64
1517247,6.64
1517246,6.64
1517245,6.64
1517244,6.64
1517243,6.64
1517242,6.64
1517241,6.64
1517240,6.64
1517239,6.64
1517238,6.66
1517237,6.66
1517236,6.66
1517235,6.66
1517479,6.68
1517478,6.68
1517477,6.68
1517476,6.68
1517475,6.68
1517474,6.70
1517473,6.70
1517472,6.70
1517471,6.70
1517470,6.72
1517469,6.72
1517468,6.72
1517467,6.72
1517466,6.72
1517465,6.72
1517464,6.72
1517463,6.72
1517462,6.72
1517461,6.72
1517460,6.74
1517459,6.74
1517458,6.74
1517457,6.74
1517456,6.77
1517455,6.77
1517454,6.77
1517453,6.77
1517452,6.77
1517265,6.77
1517264,6.77
1517799,6.80
1517798,6.80
1517797,6.80
1517508,6.80
1517507,6.80
1517506,6.80
1517505,6.80
1517504,6.80
1517503,6.82
1517502,6.85
1517501,6.85
1517500,6.85
1517499,6.85
1517498,6.85
1517497,6.85
1517496,6.85
1517495,6.85
1517494,6.85
1517493,6.85
1517492,6.85
1517491,6.85
1517490,6.89
1517489,6.89
1517488,6.89
1517487,6.89
1517486,6.89
1517485,6.89
1517484,6.89
1517483,6.89
1517482,6.89
1517481,6.89
1517480,6.92
1517829,6.92
1517828,6.92
1517827,6.92
1517826,6.92
1517825,6.92
1517824,6.92
1517823,6.92
1517822,6.92
1517821,6.92
1517820,6.92
1517819,6.96
1517818,6.96
1517817,6.96
1517816,6.96
1517815,6.96
1517814,6.96
1517813,6.96
1517812,6.96
1517811,6.96
1517810,6.96
1517809,6.96
1517808,6.96
1517807,7.00
1517806,7.00
1517805,7.00
1517804,7.00
1517803,7.00
1517802,7.00
1517801,7.00
1517800,7.00
1518148,7.00
1518147,7.00
1518146,7.00
1518145,7.01
1518144,7.01
1518143,7.01
1518142,7.02
1518141,7.02
1518140,7.02
1518139,7.03
1518138,7.04
1518137,7.04
1518136,7.05
1518135,7.05
1518134,7.05
1518133,7.05
1518132,7.05
1517843,7.06
1517842,7.06
1517841,7.06
1517840,7.06
1517839,7.06
1517838,7.06
1517837,7.08
1517836,7.09
1517835,7.09
1517834,7.10
1517833,7.10
1517832,7.10
1517831,7.10
1517830,7.10
1518178,7.11
1518177,7.11
1518176,7.11
1518175,7.11
1518174,7.11
1518173,7.12
1518172,7.12
1518171,7.12
1518170,7.14
1518169,7.14
1518168,7.14
1518167,7.15
1518166,7.15
1518165,7.15
1518164,7.15
1518163,7.15
1518162,7.15
1518161,7.15
1518160,7.16
1518159,7.17
1518158,7.17
1518157,7.18
1518156,7.18
1518155,7.19
1518154,7.20
1518153,7.22
1518152,7.22
1518151,7.22
1518150,7.24
1518149,7.24
1518556,7.24
1518555,7.25
1518554,7.25
1518553,7.25
1518552,7.28
1518551,7.28
1518550,7.28
1518549,7.28
1518548,7.28
1518547,7.28
1518546,7.30
1518545,7.30
1518544,7.30
1518543,7.30
1518542,7.30
1518194,7.30
1518193,7.30
1518192,7.31
1518191,7.32
1518190,7.34
1518189,7.35
1518188,7.35
1518187,7.36
1518186,7.36
1518185,7.36
1518184,7.39
1518183,7.40
1518182,7.40
1518181,7.40
1518180,7.40
1518179,7.40
1518584,7.40
1518583,7.40
1518582,7.41
1518581,7.41
1518580,7.42
1518579,7.44
1518578,7.44
1518577,7.46
1518576,7.46
1518575,7.47
1518574,7.47
1518573,7.47
1518572,7.47
1518571,7.47
1518570,7.47
1518569,7.47
1518568,7.48
1518567,7.48
1518566,7.49
1518565,7.49
1518564,7.49
1518563,7.51
1518562,7.51
1518561,7.51
1518560,7.51
1518559,7.52
1518558,7.52
1518557,7.52
1518914,7.52
1518913,7.52
1518912,7.52
1518911,7.52
1518910,7.52
1518909,7.52
1518908,7.54
1518907,7.54
1518906,7.54
1518905,7.55
1518904,7.57
1518903,7.57
1518902,7.59
1518901,7.60
1518900,7.60
1518899,7.60
1518898,7.60
1518595,7.60
1518594,7.60
1518593,7.60
1518592,7.60
1518591,7.60
1518590,7.60
1518589,7.62
1518588,7.64
1518587,7.64
1518586,7.64
1518585,7.66
1518942,7.66
1518941,7.66
1518940,7.66
1518939,7.66
1518938,7.66
1518937,7.66
1518936,7.66
1518935,7.66
1518934,7.68
1518933,7.68
1518932,7.68
1518931,7.70
1518930,7.70
1518929,7.70
1518928,7.70
1518927,7.70
1518926,7.70
1518925,7.70
1518924,7.70
1518923,7.70
1518922,7.72
1518921,7.72
1518920,7.72
1518919,7.72
1518918,7.72
1518917,7.74
1518916,7.74
1518915,7.74
1519185,7.77
1519184,7.77
1519183,7.77
1519182,7.77
1519181,7.77
1519180,7.77
1519179,7.77
1519178,7.77
1519177,7.80
1519176,7.80
1519175,7.82
1519174,7.82
1519173,7.82
1519172,7.82
1519171,7.82
1519170,7.82
1519169,7.85
1519168,7.85
1519167,7.85
1519166,7.85
1519165,7.85
1519164,7.85
1518951,7.89
1518950,7.89
1518949,7.89
1518948,7.89
1518947,7.92
1518946,7.92
1518945,7.92
1518944,7.92
1518943,7.92
1519472,7.92
1519471,7.92
1519470,7.96
1519213,7.96
1519212,7.96
1519211,7.96
1519210,7.96
1519209,7.96
1519208,7.96
1519207,7.96
1519206,7.96
1519205,7.96
1519204,7.96
1519203,7.96
1519202,8.00
1519201,8.00
1519200,8.00
1519199,8.00
1519198,8.00
1519197,8.00
1519196,8.00
1519195,8.01
1519194,8.01
1519193,8.02
1519192,8.03
1519191,8.04
1519190,8.05
1519189,8.06
1519188,8.07
1519187,8.07
1519186,8.07
1519504,8.08
1519503,8.08
1519502,8.10
1519501,8.10
1519500,8.11
1519499,8.11
1519498,8.11
1519497,8.12
1519496,8.12
1519495,8.13
1519494,8.14
1519493,8.14
1519492,8.15
1519491,8.15
1519490,8.15
1519489,8.16
1519488,8.19
1519487,8.20
1519486,8.21
1519485,8.21
1519484,8.23
1519483,8.23
1519482,8.24
1519481,8.24
1519480,8.24
1519479,8.24
1519478,8.27
1519477,8.28
1519476,8.28
1519475,8.29
1519474,8.29
1519473,8.29
1519781,8.30
1519780,8.31
1519779,8.31
1519778,8.32
1519777,8.32
1519776,8.32
1519528,8.32
1519527,8.32
1519526,8.32
1519525,8.33
1519524,8.34
1519523,8.34
1519522,8.35
1519521,8.36
1519520,8.36
1519519,8.36
1519518,8.38
1519517,8.38
1519516,8.39
1519515,8.39
1519514,8.40
1519513,8.40
1519512,8.41
1519511,8.42
1519510,8.42
1519509,8.42
1519508,8.43
1519507,8.43
1519506,8.44
1519505,8.44
1519812,8.46
1519811,8.46
1519810,8.49
1519809,8.51
1519808,8.51
1519807,8.51
1519806,8.55
1519805,8.57
1519804,8.57
1519803,8.59
1519802,8.60
1519801,8.60
1519800,8.60
1519799,8.62
1519798,8.62
1519797,8.62
1519796,8.62
1519795,8.64
1519794,8.64
1519793,8.68
1519792,8.68
1519791,8.68
1519790,8.68
1519789,8.68
1519788,8.68
1519787,8.74
1519786,8.77
1519785,8.77
1519784,8.80
1519783,8.80
1519782,8.82
1519826,8.85
1519825,8.85
1519824,8.85
1519823,8.89
1519822,8.92
1519821,8.92
1519820,8.96
1519819,9.05
1519818,9.05
1519817,9.10
1519816,9.15
1519815,9.15
1519814,9.15
1519813,9.22
1519413,4.27
1519412,4.29
1519411,4.41
1519410,4.41
1519409,4.43
1519408,4.43
1519163,4.43
1519162,4.44
1519161,4.44
1519160,4.44
1519159,4.44
1519158,4.47
1519157,4.47
1519156,4.48
1519155,4.49
1519154,4.51
1519153,4.51
1519152,4.52
1519151,4.52
1519150,4.52
1519443,4.52
1519442,4.59
1519441,4.59
1519440,4.60
1519439,4.60
1519438,4.61
1519437,4.62
1519436,4.62
1519435,4.63
1519434,4.64
1519433,4.66
1519432,4.66
1519431,4.72
1519430,4.73
1519429,4.74
1519428,4.74
1519427,4.75
1519426,4.76
1519425,4.78
1519424,4.79
1519423,4.80
1519422,4.81
1519421,4.81
1519420,4.82
1519419,4.82
1519418,4.82
1519417,4.82
1519416,4.85
1519415,4.85
1519414,4.86
1519719,4.89
1519718,4.90
1519717,4.90
1519716,4.90
1519469,4.90
1519468,4.91
1519467,4.91
1519466,4.92
1519465,4.92
1519464,4.92
1519463,4.92
1519462,4.94
1519461,4.94
1519460,4.96
1519459,4.96
1519458,4.96
1519457,4.96
1519456,4.96
1519455,5.00
1519454,5.00
1519453,5.00
1519452,5.00
1519451,5.00
1519450,5.00
1519449,5.00
1519448,5.00
1519447,5.00
1519446,5.00
1519445,5.00
1519444,5.00
1519747,5.00
1519746,5.00
1519745,5.00
1519744,5.00
1519743,5.00
1519742,5.00
1519741,5.00
1519740,5.00
1519739,5.00
1519738,5.00
1519737,5.00
1519736,5.00
1519735,5.00
1519734,5.00
1519733,5.00
1519732,5.00
1519731,5.00
1519730,5.00
1519729,5.02
1519728,5.03
1519727,5.04
1519726,5.04
1519725,5.04
1519724,5.05
1519723,5.05
1519722,5.06
1519721,5.07
1519720,5.11
1519999,5.13
1519998,5.14
1519997,5.14
1519996,5.15
1519775,5.16
1519774,5.16
1519773,5.19
1519772,5.20
1519771,5.21
1519770,5.22
1519769,5.23
1519768,5.24
1519767,5.25
1519766,5.26
1519765,5.27
1519764,5.29
1519763,5.30
1519762,5.31
1519761,5.32
1519760,5.34
1519759,5.34
1519758,5.37
1519757,5.37
1519756,5.37
1519755,5.37
1519754,5.38
1519753,5.40
1519752,5.40
1519751,5.41
1519750,5.41
1519749,5.41
1519748,5.42
1520030,5.42
1520029,5.42
1520028,5.42
1520027,5.44
1520026,5.45
1520025,5.46
1520024,5.46
1520023,5.47
1520022,5.47
1520021,5.47
1520020,5.47
1520019,5.47
1520018,5.47
1520017,5.47
1520016,5.48
1520015,5.48
1520014,5.48
1520013,5.48
