# Copyright (C) 2002 Rational Discovery LLC
#   This file is part of the RDKit.
#   The contents are covered by the terms of the BSD license
#   which is included in the file license.txt, found at the root
#   of the RDKit source tree.
#Code	Description	SMARTS	MOE_SMARTS	Notes

##########
# Oxygens
##########
fr_sulfonamd	"Number of sulfonamides"	N-S(=,-[OX1;+0,-1])(=,-[OX1;+0,-1])-[#6]	"N-S(=O)(=O)-[#6] or N-S(-[O-])(-[O-])-[#6]"	"Any sulfonamide"
fr_prisulfonamd	"Number of primary sulfonamides"	[NH2]-S(=,-[OX1;+0;-1])(=,-[OX1;+0;-1])-[#6]	"[NH2]-S(=O)(=O)-[#6] or [NH2]-S(-[O-])(-[O-])-[#6]"	

##################################
# Miscellaneous Functional Groups
##################################
fr_barbitur	"Number of barbiturate groups"	C1C(=O)NC(=O)NC1=O	C1C(=O)NC(=O)NC1=O	
fr_urea	"Number of urea groups"	C(=O)(-N)-N	C(=O)(-N)-N	"Includes cyclic ureas, hydroxyureas, barbiturates, etc."
fr_term_acetylene	"Number of terminal acetylenes"	C#[CH]	C#[CH]	
fr_imidazole	"Number of imidazole rings"	n1cncc1	n1cncc1	"Includes bicyclics"
fr_furan	"Number of furan rings"	o1cccc1	o1cccc1	"Includes bicyclics"
fr_thiophene	"Number of thiophene rings"	s1cccc1	s1cccc1	"Includes bicyclics"
fr_thiazole	"Number of thiazole rings"	c1scnc1	c1scnc1	"Includes bicyclics"
fr_oxazole	"Number of oxazole rings"	c1ocnc1	c1ocnc1	"Includes bicyclics"
fr_pyridine	"Number of pyridine rings"	n1ccccc1	n1ccccc1	"Includes bicyclics"
fr_piperdine	"Number of piperdine rings"	N1CCCCC1	N1CCCCC1	
fr_piperzine	"Number of piperzine rings"	N1CCNCC1	N1CCNCC1	
fr_morpholine	"Number of morpholine rings"	O1CCNCC1	O1CCNCC1	
fr_lactam	"Number of beta lactams"	N1C(=O)CC1	N1C(=O)CC1	
fr_lactone	"Number of cyclic esters (lactones)"	[C&R1](=O)[O&R1][C&R1]
#fr_intrahbonds	"Number of intramolecular H-bonds (o-OH and -C=O) + (o-NH2 and -COOH) + 8-OH/NH2 in quinolones"		"c1([OH])c(C(=O))aaaa1 or c1([OH])c([NH2])aaaa1 or c1([NH2])c(C(=O)[OH])aaaa1 or n1c2c([OH])cccc2ccc1 or n1c2c([NH2])cccc2ccc1"	"This is just a guess and may be missing other possible examples"
fr_tetrazole	"Number of tetrazole rings"	c1nnnn1	c1nnnn1	
fr_epoxide	"Number of epoxide rings"	O1CC1	O1CC1	
fr_unbrch_alkane	"Number of unbranched alkanes  of at least 4 members (excludes halogenated alkanes)"	[CR0;D2,D1][CR0;D2][CR0;D2][CR0;D2,D1]
fr_bicyclic	"Bicyclic"	[R2][R2]
fr_benzene	"Number of benzene rings"	c1ccccc1

#############
# Phosphates
#############
fr_phos_acid	"Number of phosphoric acid groups"	[$(P(=[OX1])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)]),$([P+]([OX1-])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)])]
fr_phos_ester	"Number of phosphoric ester groups"	[$(P(=[OX1])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)]),$([P+]([OX1-])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)])]

#####################
# Topliss Metabolism
#####################
fr_nitro_arom	"Number of nitro benzene ring substituents"	[$(c1(-[$([NX3](=O)=O),$([NX3+](=O)[O-])])ccccc1)]
#fr_nitro_arom	"Number of nitro aromatic ring substituents"	c-[$([NX3](=O)=O),$([NX3+](=O)[O-])]
fr_nitro_arom_nonortho	"Number of non-ortho nitro benzene ring substituents"	[$(c1(-[$([NX3](=O)=O),$([NX3+](=O)[O-])])ccccc1);!$(cc-!:*)]
fr_dihydropyridine	"Number of dihydropyridines"	[$([NX3H1]1-C=C-C-C=C1),$([Nv3]1=C-C-C=C-C1),$([Nv3]1=C-C=C-C-C1),$([NX3H1]1-C-C=C-C=C1)]

#fr_readily_oxidized	"Number of readily oxidized moieties: thiols+dihydropyridines"
fr_phenol_noOrthoHbond	"Number of phenolic OH excluding ortho intramolecular Hbond substituents"	[$(c1(-[OX2H])ccccc1);!$(cc-!:[CH2]-[OX2H]);!$(cc-!:C(=O)[O;H1,-]);!$(cc-!:C(=O)-[NH2])]
fr_Al_OH_noTert	"Number of aliphatic hydroxyl groups excluding tert-OH"	[$(C-[OX2H]);!$([CX3](-[OX2H])=[OX1]);!$([CD4]-[OX2H])]
fr_benzodiazepine	"Number of benzodiazepines with no additional fused rings"	[c&R2]12[c&R1][c&R1][c&R1][c&R1][c&R2]1[N&R1][C&R1][C&R1][N&R1]=[C&R1]2
fr_para_hydroxylation	"Number of para-hydroxylation sites"	[$([cH]1[cH]cc(c[cH]1)~[$([#8,$([#8]~[H,c,C])])]),$([cH]1[cH]cc(c[cH]1)~[$([#7X3,$([#7](~[H,c,C])~[H,c,C])])]),$([cH]1[cH]cc(c[cH]1)-!:[$([NX3H,$(NC(=O)[H,c,C])])])]	na	"Includes benzofuran and benzimidazole"	
#fr_para_hydroxylation	"Number of para-hydroxylation sites"	[$([cH]1[cH]cc(c[cH]1)-!:[$([OX2,$(O-[H,c,C])])]),$([cH]1[cH]cc(c[cH]1)-!:[$([NX3,$(N([H,c,C])-[H,c,C])])]),$([cH]1[cH]cc(c[cH]1)-!:[$([NX3H,$(NC(=O)[H,c,C])])])]	
fr_allylic_oxid	"Number of allylic oxidation sites excluding steroid dienone"	[$(C=C-C);!$(C=C-C-[N,O,S]);!$(C=C-C-C-[N,O]);!$(C12=CC(=O)CCC1C3C(C4C(CCC4)CC3)CC2)]
fr_aryl_methyl	"Number of aryl methyl sites for hydroxylation"	[$(a-[CH3]),$(a-[CH2]-[CH3]),$(a-[CH2]-[CH2]~[!N;!O]);!$(a(:a!:*):a!:*)]
fr_Ndealkylation1	"Number of XCCNR groups"	[$(N(-[CH3])-C-[$(C~O),$(C-a),$(C-N),$(C=C)]),$(N(-[CH2][CH3])-C-[$(C~O),$(C-a),$(C-N),$(C=C)])]
fr_Ndealkylation2	"Number of tert-alicyclic amines (no heteroatoms, not quinine-like bridged N)"	[$([N&R1]1(-C)CCC1),$([N&R1]1(-C)CCCC1),$([N&R1]1(-C)CCCCC1),$([N&R1]1(-C)CCCCCC1),$([N&R1]1(-C)CCCCCCC1)]
fr_alkyl_carbamate	"Number of alkyl carbamates (subject to hydrolysis)"	C[NH1]C(=O)OC
fr_ketone_Topliss	"Number of ketones excluding diaryl, a,b-unsat. dienones, heteroatom on Calpha"	[$([CX3](=[OX1])(C)([c,C]));!$([CX3](=[OX1])([CH1]=C)[c,C])]
fr_ArN	"Number of N functional groups attached to aromatics"	[$(a-[NX3H2]),$(a-[NH1][NH2]),$(a-C(=[OX1])[NH1][NH2]),$(a-C(=[NH])[NH2])]
fr_HOCCN	"Number of C(OH)CCN-Ctert-alkyl or  C(OH)CCNcyclic"	[$([OX2H1][CX4][CX4H2][NX3&R1]),$([OH1][CX4][CX4H2][NX3][CX4](C)(C)C)]

###############
# Toxicophores
###############
