MOLREGNO	CHEMBLID	SYNONYMS	MAX_PHASE	MOLWEIGHT	ALOGP	PSA	HBA	HBD	RO5	RTB	RO3	ACD_MOST_APKA	ACD_MOST_BPKA	ACD_LOGP	ACD_LOGD	AROMATIC_RINGS	HEAVY_ATOMS	QED_WEIGHTED	HBA_LIPINSKI	HBD_LIPINSKI	NUM_LIPINSKI_RO5_VIOLATIONS	MW_MONOISOTOPIC	MOLECULAR_SPECIES	FULL_MOLFORMULA	CANONICAL_SMILES
77654	CHEMBL51952		0	498.59	.8	133.35	7	2	0	9	N	13.54	4.76	2.35	2.35	1	35	.29	9	2	0	498.1937	NEUTRAL	C25H30N4O5S	CN1C=CCC(=C1)C(=O)NCCOC(=O)C2N3[C@H](SC2(C)C)[C@H](NC(=O)Cc4ccccc4)C3=O
77713	CHEMBL50727		0	485.55	1.43	130.54	8	1	0	9	N	13.5	4.41	3.3	3.29	1	34	.32	9	1	0	485.1621	NEUTRAL	C24H27N3O6S	CN1C=CCC(=C1)C(=O)OCOC(=O)C2N3[C@H](SC2(C)C)[C@H](NC(=O)Cc4ccccc4)C3=O
77891	CHEMBL53701		0	621.49	3.27	156.57	9	1	1	9	N	11.07	4.41	4.89	4.89	2	41	.25	11	1	1	620.0899	NEUTRAL	C27H26Cl2N4O7S	CN1C=CCC(=C1)C(=O)OCOC(=O)[C@@H]2N3C(SC2(C)C)C(NC(=O)c4c(C)onc4c5c(Cl)cccc5Cl)C3=O
77894	CHEMBL431944		0	552.6	1.94	156.57	9	1	1	9	N	11.26	4.41	4.34	4.34	2	39	.28	11	1	1	552.1679	NEUTRAL	C27H28N4O7S	CN1C=CCC(=C1)C(=O)OCOC(=O)[C@@H]2N3C(SC2(C)C)C(NC(=O)c4c(C)onc4c5ccccc5)C3=O
79159	CHEMBL50817		0	574.6	.35	201.52	13	2	2	16	N	11.38		-1.27	-1.27	0	39	.15	14	2	1	574.1832	NEUTRAL	C24H34N2O12S	CCOC(=O)OCOC(=O)C1=C(S[C@@H]2CCO[C@@H]2CNC(=O)OC(C)OC(=O)C)[C@H](C)C3[C@@H]([C@@H](C)O)C(=O)N13
79384	CHEMBL51555		0	602.65	1.47	201.52	13	2	2	17	N	11.17		-.41	-.41	0	41	.14	14	2	1	602.2145	NEUTRAL	C26H38N2O12S	CCOC(=O)OCOC(=O)C1=C(S[C@@H]2CCO[C@@H]2CNC(=O)OC(C)OC(=O)C(C)C)[C@H](C)C3[C@@H]([C@@H](C)O)C(=O)N13
79436	CHEMBL430968		0	602.65	1.71	201.52	13	2	2	17	N	11.09		-.35	-.35	0	41	.14	14	2	1	602.2145	NEUTRAL	C26H38N2O12S	CCOC(=O)OCOC(=O)C1=C(S[C@@H]2CCO[C@@H]2CNC(=O)OCOC(=O)C(C)(C)C)[C@H](C)C3[C@@H]([C@@H](C)O)C(=O)N13
79546	CHEMBL53501		0	654.73	2.73	201.53	13	2	2	17	N	11		1.03	1.03	0	45	.13	14	2	1	654.2458	NEUTRAL	C30H42N2O12S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)OC(C)OC(=O)OC3=CCCCC3)S[C@@H]4CCO[C@@H]4CNC(=O)OCOC(=O)C(C)C
79547	CHEMBL53667		0	616.68	1.85	201.52	13	2	2	17	N	11		-.06	-.06	0	42	.14	14	2	1	616.2302	NEUTRAL	C27H40N2O12S	CC(C)OC(=O)OC(C)OC(=O)C1=C(S[C@@H]2CCO[C@@H]2CNC(=O)OCOC(=O)C(C)C)[C@H](C)C3[C@@H]([C@@H](C)O)C(=O)N13
79548	CHEMBL52580		0	600.68	1.85	192.3	12	2	2	16	N	11		-.03	-.03	0	41	.15	13	2	1	600.2353	NEUTRAL	C27H40N2O11S	CC(C)C(=O)OCOC(=O)NC[C@H]1OCC[C@H]1SC2=C(N3C([C@H]2C)[C@@H]([C@@H](C)O)C3=O)C(=O)OCOC(=O)C(C)(C)C
79549	CHEMBL53959		0	588.62	1.3	201.52	13	2	2	17	N	11		-.76	-.76	0	40	.14	14	2	1	588.1989	NEUTRAL	C25H36N2O12S	CCOC(=O)OCOC(=O)C1=C(S[C@@H]2CCO[C@@H]2CNC(=O)OCOC(=O)C(C)C)[C@H](C)C3[C@@H]([C@@H](C)O)C(=O)N13
79571	CHEMBL50818		0	588.62	1.3	201.52	13	2	2	17	N	11.08		-.91	-.91	0	40	.14	14	2	1	588.1989	NEUTRAL	C25H36N2O12S	CCOC(=O)OCOC(=O)NCC1OCCC1SC2=C(N3C([C@H]2C)[C@@H]([C@@H](C)O)C3=O)C(=O)OCOC(=O)C(C)C
79616	CHEMBL301135		0	588.62	1.29	201.52	13	2	2	18	N	11.05		-.61	-.61	0	40	.13	14	2	1	588.1989	NEUTRAL	C25H36N2O12S	CCCC(=O)OCOC(=O)NC[C@H]1OCC[C@H]1SC2=C(N3C([C@H]2C)[C@@H]([C@@H](C)O)C3=O)C(=O)OCOC(=O)OCC
79911	CHEMBL50631		0	358.41	-4.41	158.61	8	4	0	6	N	4.27	9.47	-3.42	-5.93	0	24	.35	8	5	0	358.1199	ZWITTERION	C15H22N2O6S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@H]3[C@@H](CN)O[C@@H]3CO
80008	CHEMBL299585		0																					C30H51N3O9S	CCN(C(C)C)C(C)C.C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CCO[C@@H]3CNC(=O)OCOC(=O)C(C)(C)C
80205	CHEMBL52528		0																					C28H49N3O7S	CCN(C(C)C)C(C)C.CC(C)C(=O)OCOC(=O)C1=C(SC2CCOC2CN)[C@H](C)C3[C@@H]([C@@H](C)O)C(=O)N13
80238	CHEMBL52976		0	622.64	1.83	201.52	13	2	2	17	N	11.17		.33	.33	1	43	.15	14	2	1	622.1832	NEUTRAL	C28H34N2O12S	CCOC(=O)OCOC(=O)C1=C(S[C@@H]2CCO[C@@H]2CNC(=O)OCOC(=O)c3ccccc3)[C@H](C)C4[C@@H]([C@@H](C)O)C(=O)N14
80239	CHEMBL301139		0	616.68	1.89	201.52	13	2	2	17	N	12.07	.05	2.74	2.73	0	42	.14	14	2	1	616.2302	NEUTRAL	C27H40N2O12S	CCOC(=O)OCOC(=O)C1=C(S[C@@H]2CCO[C@@H]2CNC(=O)OC(C)OC(=O)C(C)(C)C)[C@H](C)C3[C@@H]([C@@H](C)O)C(=O)N13
80265	CHEMBL297921		0																					C28H47N3O9S	CCN(C(C)C)C(C)C.C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CCO[C@@H]3CNC(=O)OC(C)OC(=O)C
82219	CHEMBL384355		0																					C54H62F3N4O10PSi	C[C@@H](O[Si](C)(C)C)[C@@H]1[C@@H](CC(=O)COC(=O)C2=CN(CCF)c3c(F)c(N4CCN(C)CC4)c(F)cc3C2=O)N(C(=P(c5ccccc5)(c6ccccc6)c7ccccc7)C(=O)OCOC(=O)C(C)(C)C)C1=O
82598	CHEMBL52304		0	309.36	.42	87.07	5	2	0	5	N	4.85		-1.95	-4.44	0	22	.72	6	2	0	309.1576	ACID	C16H23NO5	COCC[C@H]1CC[C@@H]2[C@@H]3[C@@H]([C@@H](C)O)C(=O)N3C(=C2C1)C(=O)O
82607	CHEMBL53196		0	281.3	-.3	87.07	5	2	0	3	N	4.74		-2.57	-5.16	0	20	.69	6	2	0	281.1263	ACID	C14H19NO5	CO[C@H]1CC[C@@H]2[C@@H]3[C@@H]([C@@H](C)O)C(=O)N3C(=C2C1)C(=O)O
82629	CHEMBL54414		0	295.33	.02	98.07	5	3	0	4	N	4.84		-2.67	-5.17	0	21	.64	6	3	0	295.142	ACID	C15H21NO5	C[C@@H](O)[C@@H]1[C@H]2[C@H]3CC[C@H](CCO)CC3=C(N2C1=O)C(=O)O
83211	CHEMBL430960		0	545.55	-.09	258.08	11	4	2	6	N	2.46	2.03	-2.04	-6.05	2	37	.12	14	5	1	545.0787	ACID	C21H19N7O7S2	Cc1onc(c1)N2CC\C(=C/C3=C(N4[C@H](SC3)[C@H](NC(=O)\C(=N/O)\c5csc(N)n5)C4=O)C(=O)O)\C2=O
83212	CHEMBL432869		0	541.56	-.38	244.94	11	4	2	6	N	2.46	4.55	-2.61	-6.61	2	37	.12	13	5	1	541.0838	ACID	C22H19N7O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(C4=O)c5cccnc5
83364	CHEMBL53624	Ro-25-6833	0	546.5	.2	232.05	10	4	1	7	N	2.48	2.03	-.42	-4.43	1	36	.12	12	5	1	546.0603	ACID	C19H17F3N6O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(CC(F)(F)F)C4=O
83724	CHEMBL161	Rocefin | Rocephin | Ro-139904 | Ceftriaxone | Ceftriaxone Sodium	4	554.58	-.27	291.31	15	4	2	8	N	2.59	1.7	-.54	-5.32	1	36	.18	15	5	1	554.0461	ACID	C18H18N8O7S3	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC3=NC(=O)C(=NN3C)O)\c4csc(N)n4
83791	CHEMBL293043		0	504.54	-.32	232.05	10	4	1	6	N	2.48	2.03	-1.17	-5.19	1	34	.13	12	5	1	504.0886	ACID	C20H20N6O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(C5CC5)C4=O
83887	CHEMBL55650		0	602.61	1.43	221.05	10	3	1	10	N	2.46	1.71	2.79	-.98	1	40	.15	12	4	1	602.1229	ACID	C23H25F3N6O6S2	CC(C)CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)\C=C\3/CCN(CC(F)(F)F)C3=O)\c4csc(N)n4
83928	CHEMBL293051		0	592.54	.64	221.05	10	3	1	10	N	2.46	1.52	1.71	-2.08	1	39	.09	12	4	1	592.0822	ACID	C21H20F4N6O6S2	Nc1nc(cs1)\C(=N\OCCF)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(CC(F)(F)F)C4=O
83965	CHEMBL54887		0	584.62	.76	241.28	11	4	2	8	N	2.48	2.03	.34	-3.68	2	40	.11	13	5	1	584.1148	ACID	C25H24N6O7S2	COc1cccc(CN2CC\C(=C/C3=C(N4[C@H](SC3)[C@H](NC(=O)\C(=N/O)\c5csc(N)n5)C4=O)C(=O)O)\C2=O)c1
84011	CHEMBL291734		0	570.6	.75	241.28	11	4	2	7	N	2.48	2.03	-.72	-4.74	2	39	.12	13	5	1	570.0991	ACID	C24H22N6O7S2	COc1cccc(c1)N2CC\C(=C/C3=C(N4[C@H](SC3)[C@H](NC(=O)\C(=N/O)\c5csc(N)n5)C4=O)C(=O)O)\C2=O
84086	CHEMBL299747		0	585.57	.66	277.88	12	4	2	7	N	2.48	2.03	-.88	-4.9	2	40	.09	15	5	1	585.0737	ACID	C23H19N7O8S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(C4=O)c5cccc(c5)[N+](=O)[O-]
84118	CHEMBL55985		0	614.62	1.64	221.05	10	3	1	9	N	2.46	1.74	2.86	-.91	1	41	.16	12	4	1	614.1229	ACID	C24H25F3N6O6S2	Nc1nc(cs1)\C(=N\OC2CCCC2)\C(=O)N[C@H]3[C@H]4SCC(=C(N4C3=O)C(=O)O)\C=C\5/CCN(CC(F)(F)F)C5=O
84141	CHEMBL417755		0	572.57	.29	272.52	12	6	3	6	N	2.46	2.03	-2.2	-6.22	2	39	.07	14	7	2	572.0784	ACID	C23H20N6O8S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(C4=O)c5ccc(O)c(O)c5
84142	CHEMBL53564		0	556.57	.53	252.28	11	5	2	6	N	2.46	2.03	-1.6	-5.62	2	38	.11	13	6	2	556.0835	ACID	C23H20N6O7S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(C4=O)c5ccc(O)cc5
84209	CHEMBL416841		0	522.51	-1.33	269.35	12	5	2	7	N	2.46	2.03	-1.73	-6.77	1	35	.09	14	6	2	522.0628	ACID	C19H18N6O8S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(CC(=O)O)C4=O
84258	CHEMBL54607		0	502.52	.39	232.05	10	4	1	6	N	2.48	2.03	-1.33	-5.35	1	34	.1	12	5	1	502.0729	ACID	C20H18N6O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(CC#C)C4=O
84302	CHEMBL297912		0	586.56	.86	221.05	10	3	1	10	N	2.46	1.85	2.09	-1.66	1	39	.09	12	4	1	586.0916	ACID	C22H21F3N6O6S2	Nc1nc(cs1)\C(=N\OCC=C)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(CC(F)(F)F)C4=O
84308	CHEMBL52661		0	560.53	.24	221.05	10	3	1	8	N	2.46	1.7	1.42	-2.36	1	37	.17	12	4	1	560.076	ACID	C20H19F3N6O6S2	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)\C=C\3/CCN(CC(F)(F)F)C3=O)\c4csc(N)n4
84506	CHEMBL299551		0	546.54	-1.49	286.52	13	5	2	7	N	2.46	2.03	-3.5	-8.24	2	37	.09	16	6	2	546.0852	ACID	C19H18N10O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(Cc5nn[nH]n5)C4=O
84624	CHEMBL927	Cefdinir | Omnicef | FK-482 | Cefzon | CI-983	4	395.41	-.17	211.74	9	4	0	5	N	2.82	2.03	-1.78	-5.48	1	26	.23	10	5	0	395.0358	ACID	C14H13N5O5S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)C=C
84669	CHEMBL55283		0	504.54	-.19	232.05	10	4	1	7	N	2.48	2.03	-.65	-4.67	1	34	.1	12	5	1	504.0886	ACID	C20H20N6O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(CC=C)C4=O
84750	CHEMBL55252		0	518.57	.01	232.05	10	4	1	7	N	2.48	2.03	-.66	-4.68	1	35	.12	12	5	1	518.1042	ACID	C21H22N6O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(CC5CC5)C4=O
84754	CHEMBL433277		0	480.47	-1	252.28	11	5	1	5	N	2.48	2.03	-2.41	-6.42	1	32	.09	13	6	2	480.0522	ACID	C17H16N6O7S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(O)C4=O
84802	CHEMBL54324		0	464.48	-1.01	240.84	10	5	0	5	N	2.46	2.03	-2.89	-6.9	1	31	.12	12	6	2	464.0573	ACID	C17H16N6O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCNC4=O
84858	CHEMBL298898		0	526.54	.45	232.05	10	4	1	6	N	2.43	2.03	-1.24	-5.26	2	36	.13	12	5	1	526.0729	ACID	C22H18N6O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C/4\CN(C4=O)c5ccccc5
84885	CHEMBL53736		0	554.6	1.23	232.05	10	4	1	6	N	2.48	2.03	-.62	-4.64	2	38	.13	12	5	1	554.1042	ACID	C24H22N6O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCCN(C4=O)c5ccccc5
84886	CHEMBL56619		0	540.57	.77	232.05	10	4	1	6	N	2.48	2.03	-.96	-4.98	2	37	.13	12	5	1	540.0886	ACID	C23H20N6O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN(C4=O)c5ccccc5
84922	CHEMBL54772		0	526.54	.45	232.05	10	4	1	6	N	2.43	2.03	-1.24	-5.26	2	36	.13	12	5	1	526.0729	ACID	C22H18N6O6S2	Nc1nc(cs1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CN(C4=O)c5ccccc5
86789	CHEMBL56354		0	403.48	-1.39	166.27	6	3	0	4	N	3.12	6.97	1.75	-1.48	2	27	.53	7	4	0	403.066	ACID	C18H17N3O4S2	CC1=C(N2C(SC1)C(NC(=O)C(N)c3csc4ccccc34)C2=O)C(=O)O
87595	CHEMBL301897		0	409.5	-1.56	194.51	6	3	0	4	N	3.11	6.26	2.03	-1.48	2	26	.51	7	4	0	409.0225	ACID	C16H15N3O4S3	CC1=C(N2C(SC1)C(NC(=O)C(N)c3cc4ccsc4s3)C2=O)C(=O)O
87632	CHEMBL56133		0	353.42	.58	152.27	6	3	0	5	N	3.12	1.19	.46	-3.18	1	23	.66	7	3	0	353.0504	ACID	C14H15N3O4S2	CC1=C(N2[C@H](SC1)[C@H](NC(=O)CNc3cccs3)C2=O)C(=O)O
87663	CHEMBL56317		0	430.48	-2.85	158.34	7	3	0	4	N	3.12	6.82	1.23	-2.06	1	30	.43	9	4	0	430.1311	ACID	C20H22N4O5S	CC(=O)N1CCc2cc(ccc12)C(N)C(=O)NC3C4SCC(=C(N4C3=O)C(=O)O)C
87677	CHEMBL294872		0	417.5	-.91	166.27	6	3	0	4	N	3.12	6.8	2.29	-1.01	2	28	.55	7	4	0	417.0817	ACID	C19H19N3O4S2	CC1=C(N2C(SC1)C(NC(=O)C(N)c3cccc4c(C)csc34)C2=O)C(=O)O
87688	CHEMBL293507		0	409.5	-1.15	194.51	6	3	0	4	N	3.11	6.24	2.03	-1.48	2	26	.53	7	4	0	409.0225	ACID	C16H15N3O4S3	CC1=C(N2C(SC1)C(NC(=O)C(N)c3cc4sccc4s3)C2=O)C(=O)O
87723	CHEMBL55601		0	403.48	-1.39	166.27	6	3	0	4	N	3.12	6.77	1.38	-1.94	2	27	.53	7	4	0	403.066	ACID	C18H17N3O4S2	CC1=C(N2C(SC1)C(NC(=O)C(N)c3ccc4sccc4c3)C2=O)C(=O)O
87730	CHEMBL436555		0	403.48	-1.39	166.27	6	3	0	4	N	3.12	6.76	1.64	-1.69	2	27	.53	7	4	0	403.066	ACID	C18H17N3O4S2	CC1=C(N2C(SC1)C(NC(=O)C(N)c3cccc4sccc34)C2=O)C(=O)O
90279	CHEMBL294383		0	554.42	2.66	176.49	9	2	1	9	N	2.47	3.11	2.07	-1.65	2	35	.27	9	2	0	552.9936	ACID	C22H17Cl2N3O6S2	OC(=O)C1=C(COC(=O)c2cccnc2)CSC3[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C(=O)N13
90360	CHEMBL300376		0	569.46	3.41	167.48	8	2	1	9	N	2.47		-.97	-.37	2	36	.2	9	2	0	568.0171	ACID	C23H20Cl2N3O6S2	C[n+]1ccc(cc1)C(=O)OCC2=C(N3C(SC2)[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C3=O)C(=O)O
90389	CHEMBL58965		0	569.46	3.41	167.48	8	2	1	9	N	2.47		-.97	-.37	2	36	.2	9	2	0	568.0171	ACID	C23H20Cl2N3O6S2	C[n+]1cccc(c1)C(=O)OCC2=C(N3C(SC2)[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C3=O)C(=O)O
91288	CHEMBL58641		0	596.5	3.97	166.84	9	2	1	10	N	2.57	2.28	3.28	-.44	2	38	.23	9	2	0	595.0405	ACID	C25H23Cl2N3O6S2	CN(C)c1ccc(cc1)C(=O)OCC2=C(N3C(SC2)[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C3=O)C(=O)O
91305	CHEMBL60629		0	553.43	3.81	163.6	8	2	1	9	N	2.62		3.41	-.31	2	35	.27	8	2	0	551.9983	ACID	C23H18Cl2N2O6S2	OC(=O)C1=C(COC(=O)c2ccccc2)CSC3[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C(=O)N13
91316	CHEMBL293327		0	567.46	4.29	163.6	8	2	1	9	N	2.55		3.92	.21	2	36	.26	8	2	0	566.014	ACID	C24H20Cl2N2O6S2	Cc1ccc(cc1)C(=O)OCC2=C(N3C(SC2)[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C3=O)C(=O)O
91317	CHEMBL58896		0	491.37	2.14	163.6	8	2	0	8	N	2.67		1.71	-2	1	30	.32	8	2	0	489.9827	ACID	C18H16Cl2N2O6S2	CC(=O)OCC1=C(N2C(SC1)[C@H](NC(=O)CSc3cc(Cl)ccc3Cl)C2=O)C(=O)O
91343	CHEMBL61202		0	598.43	3.7	209.42	10	2	1	10	N	2.51		3.2	-.52	2	38	.13	11	2	1	596.9834	ACID	C23H17Cl2N3O8S2	OC(=O)C1=C(COC(=O)c2ccc(cc2)[N+](=O)[O-])CSC3[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C(=O)N13
91456	CHEMBL59021		0	611.47	3.57	189.9	10	2	1	11	N	2.53		3.22	-.5	2	39	.16	10	2	0	610.0038	ACID	C25H20Cl2N2O8S2	CC(=O)Oc1ccc(cc1)C(=O)OCC2=C(N3C(SC2)[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C3=O)C(=O)O
91477	CHEMBL57234		0	578.44	3.69	187.39	9	2	1	9	N	2.51		2.8	-.92	2	37	.25	9	2	0	576.9936	ACID	C24H17Cl2N3O6S2	OC(=O)C1=C(COC(=O)c2ccc(cc2)C#N)CSC3[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C(=O)N13
91550	CHEMBL58804		0	554.42	2.66	176.49	9	2	1	9	N	2.47	3.08	2.06	-1.66	2	35	.27	9	2	0	552.9936	ACID	C22H17Cl2N3O6S2	OC(=O)C1=C(COC(=O)c2ccncc2)CSC3[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C(=O)N13
91585	CHEMBL58805		0	569.43	3.56	183.83	9	3	1	9	N	2.55		3.16	-.62	2	36	.23	9	3	0	567.9932	ACID	C23H18Cl2N2O7S2	OC(=O)C1=C(COC(=O)c2ccc(O)cc2)CSC3[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C(=O)N13
91628	CHEMBL294572		0	610.49	2.93	192.7	9	3	1	10	N	2.54		2.69	-1.02	2	39	.21	10	3	0	609.0198	ACID	C25H21Cl2N3O7S2	CC(=O)Nc1ccc(cc1)C(=O)OCC2=C(N3C(SC2)[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C3=O)C(=O)O
91919	CHEMBL293279		0	387.47	4.45	49.77	3	1	0	7	N	13.99		4.63	4.63	3	29	.61	4	1	0	387.1834	NEUTRAL	C25H25NO3	COc1ccc(cc1)[C@@H]2[C@@H]([C@@H](O)CCc3ccccc3)C(=O)N2c4ccccc4
91954	CHEMBL61858		0	387.47	4.45	49.77	3	1	0	7	N	13.99		4.63	4.63	3	29	.61	4	1	0	387.1834	NEUTRAL	C25H25NO3	COc1ccc(cc1)[C@H]2[C@H]([C@@H](O)CCc3ccccc3)C(=O)N2c4ccccc4
