SET_NAME,PATTERN_NAME,SMARTS,MIN_COUNT,SEVERITY_SCORE,SEVERITY_COMMENT,COVALENT,SPECIAL_MOL,ORIGINAL_SET,SET_DESCRIPTION,SOURCE,REFERENCE,NumMatchesPubChem2018,EX1,CID_Ex1,EX2,CID_Ex2,EX3,CID_Ex3,EX4,CID_Ex4,EX5,CID_Ex5
NIBR_Screeningdeck_2019,3_consecutive_aliphatic_nitrogen_subst,[N;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!r3;!$(N-S(=O)(=O));!$(N-C=O)]-[N;!$(N-S(=O)(=O));!$(N-C=O)],1,2,EXCLUDE,0,0,BMS,Exclusion and informational filters for HTS and hit list triaging,literature,"Pearce, B. C., Sofia, M. J., Good, A. C., Drexler, D. M., & Stock, D. A. (2006). An empirical process for the design of high-throughput screening deck filters. Journal of chemical information and modeling, 46(3), 1060-1068.",64078,CCOC(=O)N=NN(C)N=NC(=O)OCC,100984231,CC(CCCNS(=O)(=O)C1=CC=CC2=C1C=CC=C2N(C)C)N(CCCNCCCN)[N]N=[N-],100985659,CCOC(=O)C1=C2N=NNN2C(N=C1)(C3=CC=CC=C3)C(C#N)C(=O)OCC,100986371,CCOC(=O)C(=C)C[N+](CC=C)(N1CCCCC1)N2CCCCC2,100988964,C1CCN(C1)N(C2=CC=C(C=C2)C(C3=CC=C(C=C3)N(N4CCCC4)N5CCCC5)C6=CC=C(C=C6)N(N7CCCC7)N8CCCC8)N9CCCC9,100990233
NIBR_Screeningdeck_2019,3_halo_pyridazine_2_EWG,"[#7;R1]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6][#7]1",1,2,EXCLUDE,1,0,BMS,Exclusion and informational filters for HTS and hit list triaging,literature,"Pearce, B. C., Sofia, M. J., Good, A. C., Drexler, D. M., & Stock, D. A. (2006). An empirical process for the design of high-throughput screening deck filters. Journal of chemical information and modeling, 46(3), 1060-1068.",479,CCOCC1=C(C(=NN(C1=O)C)C(=O)N=C(NN)N(C)N)Cl,123757028,CN1C(=O)C(=C(C(=N1)C(=O)O)Cl)Cl,84075935,C1=C(C(=NNC1=O)C(=O)O)Cl,84075936,COC1=NN=C(C(=C1)Br)C(=O)O,84075938,CC1=CC(=C2C(=C1)C(=C(N=N2)C#N)Cl)C,131606840
NIBR_Screeningdeck_2019,3_halo_pyridazine_4_EWG,"[#7;R1]1[#6][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#7]1",1,2,EXCLUDE,1,0,BMS,Exclusion and informational filters for HTS and hit list triaging,literature,"Pearce, B. C., Sofia, M. J., Good, A. C., Drexler, D. M., & Stock, D. A. (2006). An empirical process for the design of high-throughput screening deck filters. Journal of chemical information and modeling, 46(3), 1060-1068.",119,CC1=CN(C=N1)C2=C(C=C(C=C2)C(=O)C3=C(C=NN(C3=O)C(C)C4=CC=C(C=C4)F)Br)OC,68368684,C1=NNC(=O)C(=C1[N+](=O)[O-])Cl,84075860,COC1=NN=C(C(=C1C(=O)O)Br)OC,84075927,COC1=C(C(=CN=N1)Cl)C=O,84075930,C1=CC=C(C=C1)C(=O)C2=C(C(=NN=C2Br)Br)I,125475839
NIBR_Screeningdeck_2019,3_ring_unsaturated,"*1:,=*~*~1",1,2,EXCLUDE,0,0,Inhouse,N.A.,inhouse,no ref,33166,C1=CC2(C=CC1=O)C=C2,100975761,C1=CC2(C=CC1=O)C(=C2[N+](=O)[O-])[N+](=O)[O-],100975763,[2H]C1=C2C=CC=CC23C=C3C4=CC=CC=C14,100977273,[2H]C1=C2C=CC3C=C3C2=CC4=CC=CC=C14,100977276,CCN(CC)S(=O)(=O)C[C@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)C3=NC3,100981594
NIBR_Screeningdeck_2019,3_ring_with_2_heteroatoms,[!#6]1~[!#6]~*~1,1,2,EXCLUDE,1,0,Inhouse,N.A.,inhouse,no ref,18554,C[C@@]12CC[C@@H](C1(C)C)C3(C24SS4)CCCC3,100975742,CC1(O[SiH2]1)C,100982690,B1(B(O1)Br)Br,100983563,B1BO1,100983564,B1(B(O1)C)C,100983565
NIBR_Screeningdeck_2019,4_hydroxy_phenyl_hydrazone,[#7]-N=!@C-c1ccc(-[OH])cc1,1,2,EXCLUDE,0,0,Inhouse,N.A.,inhouse,no ref,95,CC(C1=CC(=CC(=C1O)C(C)(C)C)/C=N/N=C/2\C3=CC=CC=C3C4=C2C=CC=C4C(=O)OCCOC5=CC=C(C=C5)C6(C7=CC=CC=C7C8=CC=CC=C68)C9=CC=C(C=C9)OCCOC(=O)C1=CC=CC\2=C1C1=CC=CC=C1/C2=N\N=C\C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)(C)C,23568280,CCOC(=O)COC1=C2CC3=CC(=CC(=C3O)CC4=C(C(=CC(=C4)C(C)(C)C)CC5=C(C(=CC(=C5)C=NNC6=C(C=C(C=C6)[N+](=O)[O-])[N+](=O)[O-])CC1=CC(=C2)C(C)(C)C)O)OCC(=O)OCC)C=NNC7=C(C=C(C=C7)[N+](=O)[O-])[N+](=O)[O-],119076910,CCCN(CC(=O)N[N+](=CC1=CC(=C(C(=C1O)Br)O)Br)CCC)C2=CC3=CC=CC=C3C=C2,123177527,C1=CC(=CC=C1N(C(=S)NC2=CC(=C(C=C2)/C=C/C3=C(C=C(C=C3)NC(=S)CCCOCCCC(=S)NC4=CC(=C(C=C4)/C=C/C5=C(C=C(C=C5)NC(=S)N(C6=CC=C(C=C6)Cl)CC(=O)N/N=C/C7=CC(=C(C(=C7)Br)O)Br)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])CC(=O)N/N=C/C8=CC(=C(C(=C8)Br)O)Br)Cl,57908865,CCN(CC)CCC1=CC=C(C=C1)OP(=S)(N(C)/N=C\C2=CC=C(C=C2)OP3(=NP(=NP(=N3)(C)OC4=CC=C(C=C4)/C=N\N(C)P(=S)(OC5=CC=C(C=C5)CCN(CC)CC)OC6=CC=C(C=C6)CCN(CC)CC)(OC7=CC=CC=C7)OC8=CC=C(C=C8)/C=N\N(C)P(=S)(OC9=CC=C(C=C9)CCN(CP(=O)(O)O)CP(=O)(O)O)OC1=CC=C(C=C1)CCN(CP(=O)(O)O)CP(=O)(O)O)OC1=CC=C(C=C1)/C=N\N(C)P(=S)(OC1=CC=C(C=C1)CCN(C)C)OC1=CC=C(C=C1)CCN(CP(=O)(O)O)CP(=O)(O)O)OC1=CC=C(C=C1)CCN(C)C.CCN(CCC1=CC=C(C=C1)OP(=S)(N(C)/N=C\C2=CC=C(C=C2)O)OC3=CC=C(C=C3)CCN(CP(=O)(O)O)CP(=O)(O)O)CO[P+](=O)O.OP(=O)=O.OP(=O)=O.OP(=O)=O.OP(=O)=O,91414123
NIBR_Screeningdeck_2019,5_ring_acyl,"[#6]-C(=O)!@-[n;$(n1naaa1),$(n1anaa1)]1[n,c;!$(a=!@A)][n,c;!$(a=!@A)][n,c;!$(a=!@A)][n,c;!$(a=!@A)]1",1,0,ANNOTATION,1,0,Inhouse,N.A.,inhouse,no ref,40859,C1=CC=C(C=C1)C(=O)N2C3=C(C=C(C=C3)F)N=C2C4=CC=C(O4)[N+](=O)[O-],100976276,CC(=O)NC1=CN(C(=N1)C(=O)NC2=CN(C(=C2)C(=O)N3C=CN=C3)C)C,100978759,CC1=NC2=C(N1C(=O)C3=C(C=C(C=C3)CC4=CN(C5=CC=CC(=C54)C#C)C(=O)N(C)C)F)C=C[N+](=C2)[O-],100979323,C1OC2=C(O1)C=C(C=C2)CNCC(=O)N3C4=C(C=C(C=C4)C(=O)O)N=C3CCC5=CC=CC=C5,100985337,CC(=O)N1C(=NN=N1)C2=CC(=C(C=C2NCC3=CC=CS3)Cl)S(=O)(=O)N,129252605
NIBR_Screeningdeck_2019,9_10_diphenyl_anthracene,c1(-c2ccccc2)c3ccccc3c(-c4ccccc4)c5ccccc51,1,2,EXCLUDE,0,0,Inhouse,N.A.,inhouse,no ref,50931,CC1=CC(=C(C(=C1)C)C2=C3C=CC=CC3=C(C4=CC=CC=C42)C5=CC=C(C=C5)COC6C[C@@H]7C[C@H]6C=C7)C,100994182,C1=CC=C(C=C1)C2=C3C=C(C(=CC3=C(C4=CC=CC=C42)C5=CC=CC=C5)C(=O)O)C6=C7C=C(C(=O)C=C7OC8=CC(=C(C=C86)F)O)F,100997455,C1=CC=C(C=C1)C2=CC=CC=C2C3=C4C=CC=CC4=C(C5=CC=CC=C53)C6=CC=CC7=C6C=CC=C7C8=CC=CC9=C8C=CC1=C9C2=CC=CC=C2O1,129254626,C1=CC=C(C=C1)C2=CC(=CC=C2)C3=C4C=C(C=CC4=C(C5=C3C=CC(=C5)C6=CC=C(C=C6)C7=NC8=CC=CC=C8N7C9=CC=CC=C9)C1=CC=CC(=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C1=NC2=CC=CC=C2N1C1=CC=CC=C1,129256953,C1=CC=C2C=C(C=CC2=C1)C3=C4C=CC(=CC4=C(C5=CC=CC=C53)C6=CC7=CC=CC=C7C=C6)C8=CC=C(C=C8)C#N,89026919
NIBR_Screeningdeck_2019,acetal_aminal_acyclic,"[O,S&v2,N]-!@[#6;$(C=O),X4]-!@[O,S&v2,N]",1,0,ANNOTATION,0,0,Inhouse,N.A.,inhouse,no ref,7775806,COC(C[C@H](CCC#CC[Si](C)(C)C)C1=CC=CC=C1)OC,100975403,CCN(CC)C[NH+]=C(C=C)O,100975415,CC(=C)C(=[NH+]CN(C)C)O,100975417,C[C@@]12[C@@]3(CCC(=O)N3[C@H](CO1)CC4=CC=CC=C4)C5=CC(C=CC5=N2)(OCC(F)(F)F)OCC(F)(F)F,100975466,COC1=CC(=NC(=N1)N(C2=C(C=CC(=N2)C(F)(F)F)C(=O)OC)C(=O)N)OC,100975558
NIBR_Screeningdeck_2019,acetal_aminal_cyclic,"[O,N]-!@[C;X4;!$(CC(-[OH])C(-[OH])C-[OH])]-@[O,N]",1,0,ANNOTATION,0,0,Inhouse,N.A.,inhouse,no ref,1081391,C[C@H]1CC[C@H]2C([C@]3([C@H](C[C@]4([C@@H]5CC[C@H]6[C@]7([C@]5(C[C@]4([C@@H]3CN2C1)O)O[C@@]6([C@H](CC7)OC(=O)C(C)C)O)C)O)O)O)(C)O,100975477,C[C@@H]1[C@@H]2C=C[C@](O2)([C@@H](C1=O)C)O[Si](C)(C)C(C)(C)C,100975524,CC(=O)OCCCN1[C@H]([C@H](CC1=O)OC(=O)C)O,100975540,B1(OC(C(O1)(C)C)(C)C)/C=C(/COC2CCCCO2)\[Si](C)(C)C3=CC=CC=C3,100975649,C[C@@H]1[C@H]([C@@H]([C@@H](O1)O[C@@H]2CO[C@H]([C@H]([C@@H]2O)O)O[C@@H]3[C@H]([C@@H](CO[C@H]3N4[C@H](C(=O)/C(=C(/C=C/C=C/C=C/C=C/C=C(\C=C(/C)\Cl)/Cl)\O)/C4=O)CC(=O)N)O)O)O)O,100975898
NIBR_Screeningdeck_2019,acetyl_urea,C(=O)!@N!@C(=O)[#7],1,1,FLAG,0,0,Inpharmatica,filter groups that are generally undesirable during drug design,literature,Inpharmatica Inc. http://www.inpharmatica.co.uk/,231887,CC(=C)C(=O)NC(=O)N[C@@H]1C[C@@H]([C@H](C1)O)CO,100982685,C[C@@H](C1=CC=CC2=CC=CC=C21)NC(=O)NC(=O)N3[C@@H](CC4=CC=CC=C43)C(=O)N,100992529,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)N(C(=O)C)C(=O)NC(C)C,129252573,CC(C)N(C(=O)C)C(=O)N(C)C(=O)C,129252606,CC(CNC(=O)NC(=O)CN1CCCC(C1)C2=NC3=CC=CC=C3S2)(F)F,129254488
NIBR_Screeningdeck_2019,acid_anhydride_acyclic,"O=[C,P!$(P(~O)(~O)(~O)O),N,S]!@O!@[C,P,N,S]=O",1,2,EXCLUDE,0,0,Inhouse,N.A.,inhouse,no ref,70049,C1CC(SC(=O)C1)C(=O)OC(=O)C(F)(F)F,100976740,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)NC(=O)C[C@@H](C(=O)OCC2=CC=CC=C2)NC(=O)OC(=O)C3=CC=CC=C3)OC(=O)C)OC(=O)C)OC(=O)C,100976741,CC(C)(C)C(=O)O[C@@H]1[C@H](O[C@H]([C@@H]([C@H]1OC(=O)C(C)(C)C)OC(=O)C(C)(C)C)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)NC(=O)C[C@@H](C(=O)OC(C)(C)C)NC(=O)OC(=O)C3=CC=CC=C3)OCC4=CC=CC=C4)OCC5=CC=CC=C5)OCC6=CC=CC=C6)CO[C@@H]7[C@@H]([C@H]([C@@H]([C@H](O7)COCC8=CC=CC=C8)OCC9=CC=CC=C9)OCC1=CC=CC=C1)OCC1=CC=CC=C1,100976747,CCOC(=O)OC1=CC2=C(C=C1)C(=C3C=CC(=O)C=C3O2)C4=CC=CC=C4C(=O)OC(=O)OCC,100976936,CCCCCCCC/C=C/CCCCCCCC(=O)OP(=O)(OC(=O)CCCCCCC/C=C/CCCCCCCC)[O-].CCCCCCCC/C=C/CCCCCCCC(=O)OP(=O)(OC(=O)CCCCCCC/C=C/CCCCCCCC)[O-].[Cd+2],100982955
NIBR_Screeningdeck_2019,acid_anhydride_cyclic,"O=[#6,P!$(P(~O)(~O)(~O)O),#7,#16]@[#8]@[#6,#15,#7,#16]=O",1,2,EXCLUDE,0,0,Inhouse,N.A.,inhouse,no ref,36370,CCOCC[C@H]1C(=O)OC(=O)N1,100976209,C1=CC=C2C(=C1)/C(=C\3/C(=NSS3)Cl)/C(=O)OC2=O,100977701,CCCCCCCC[C@@H]1C=C2[C@@H]([C@@H]([C@H]1CCO[Si](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C6=C(CC27COC(OC7)(C)C)C(=O)OC6=O)OCC8=CC=C(C=C8)OC,100981464,C1=CC(=C(C=C1CC2C(=O)OC(=O)N2)O)O,100982869,C1C[C@@H]2[C@@H](CC3=C([C@H](C1)[C@H]2O)C(=O)OC3=O)O,100983022
NIBR_Screeningdeck_2019,acid_anhydrides_2,"[#6]C(=O)!@OC(=!@[N,O])[#6]",1,2,EXCLUDE,0,0,SureChEMBL,"subset of the ToxAlert database, tructural alerts for toxic chemicals and compounds with potential adverse reactions",literature,SureChEMBL ToxAlerts WebPage. https://www.surechembl.org/knowledgebase/169485-non-medchem-friendly-smarts,35131,C1CC(SC(=O)C1)C(=O)OC(=O)C(F)(F)F,100976740,C[C@H](CC1=CC2=C(C=C1)OC(O2)(C(=O)OC(=O)CC(C)(C)C)C(=O)OC(=O)CC(C)(C)C)NC[C@@H](C3=CC(=CC=C3)Cl)O,100983631,CCCCCCCCCCCCCCCCCC(=O)OC(=O)[C@H](C)O,100991661,CCCCCCCCCCOC1=CC(=CC(=C1OCCCCCCCCCC)OCCCCCCCCCC)C(=O)OC(=O)C2=CC(=C(C(=C2)OCCCCCCCCCC)OCCCCCCCCCC)OCCCCCCCCCC,100992844,C1=CSC(=C1)/C=C/C(=O)OC(=O)/C=C/C2=CC=CS2,100994517
NIBR_Screeningdeck_2019,acid_count_3,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",1,2,EXCLUDE,0,0,MLSMR,"chemically reactive functional groups that would interfere with HTS, as well as compounds likely to be promiscuous aggregators",literature,"Laggner, C., Shayo, Y., Hendarto, C., Johnson, C. R., & Loomis, C. R. Large scale storage stability analysis of molecules in the NCATS SMR (formerly MLSMR)",105329,C=C(C(=O)NC1=CC(=C(C=C1)S(=O)(=O)O)NN=C2C(=CC3=CC(=C(C(=C3C2=O)N)N=NC4=C(C=CC(=C4)NC(=O)C(=C)Br)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)Br,100975579,CC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5C(C(=C(N5)C=C1N2)C=CN=O)(C)O)C)CCC(=O)N[C@@H](CC(=O)O)C(=O)O)C(=C3C)CCC(=O)N[C@@H](CC(=O)O)C(=O)O)C=C,100976168,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)OP(=O)(O)OC[C@@H]3[C@H](C[C@@H](O3)N4C=NC5=C(NC(=O)N=C54)N)OP(=O)(O)OC[C@@H]6[C@H](C[C@@H](O6)N7C=CC(=NC7=O)N)OP(=O)(O)OC[C@@H]8[C@H](C[C@@H](O8)N9C=NC1=C(NC(=O)N=C19)N)OP(=O)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=CC(=NC1=O)N)OP(=O)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C(NC(=O)N=C21)N)OP(=O)(O)O,100976561,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)COS(=O)(=O)O)OS(=O)(=O)O)O[C@H]2[C@@H]([C@H](C=C(O2)C(=O)O)O)OS(=O)(=O)O,100977202,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC,100978293
