molregno,smiles,chemblid
685632,[Br-].CC\C(=C(/c1ccccc1)\c2ccc(OCC[N+](C)(C)C(C)C)cc2)\c3ccccc3,CHEMBL1213785
1347106,CCSc1nc(NCc2ccc(OC)cc2)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n1,CHEMBL2037560
709044,Fc1cccc(c1)C(=O)c2c[nH]c(n2)c3ccccc3,CHEMBL1269808
1968265,CC(C)[C@H]1NC(=O)C[C@@H]2OC(=O)Cc3cc(Br)ccc3CNC(=O)[C@@H](CSSCC\C=C\2)NC1=O,CHEMBL3628313
2042649,CNC(=O)c1ccc(cc1)c2nc(COc3cc(OC)cc4oc(cc34)c5cn6nc(OC)sc6n5)c(C)s2,CHEMBL3715215
60634,Fc1ccc(CN2CCC(CNCC(c3ccccc3)c4ccccc4)CC2)cc1,CHEMBL39262
1015911,O=C(CN1C(=O)N(CC2CCC(CC2)C(=O)NCCc3ccccc3)C(=O)c4ccccc14)Nc5ccccc5,CHEMBL1592027
790120,OC(=O)\C=C\C(=O)Nc1ccc2C(=O)c3ccccc3C(=O)c2c1,CHEMBL1366236
115690,CC1=C(N2CC2)C(=O)C(=C(N3CC3)C1=O)C,CHEMBL311910
606211,CC(=O)NCCNC(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,CHEMBL609775
391634,Oc1ccc(cc1NC(=O)Cc2ccc(F)cc2)[N+](=O)[O-],CHEMBL242088
255381,NCNC[C@@H](N)CCC\N=C(\N)/N[N+](=O)[O-],CHEMBL152583
1582607,COc1ccc(cc1)S(=O)(=O)N2CCc3nc4ccccc4c(C(=O)O)c3C2,CHEMBL2430559
2189829,CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(Br)cc3[C@@]24NC(=N)N(CC(C)(C)O)C4=O,CHEMBL3980458
884361,N(c1ccccc1)c2[nH]cnc3nncc23,CHEMBL1460477
857539,CCOC(=O)c1ccc2c(c1)N(Cc3cccc(OC)c3)C(=O)c4ccccc4S2(=O)=O,CHEMBL1433655
1430386,CCOC(=O)C1=C(Nc2cc(SC)ccc2C1=O)c3cccc(OC)c3,CHEMBL2170898
2089327,Nc1ncnc(Oc2ccc(NC(=O)C3(CC3)C(=O)Nc4ccc(F)cc4)cc2F)c1\C=N\O,CHEMBL3814311
548687,Cl.Cl.NC(=O)NC(=N)CCSCc1ccccn1,CHEMBL537835
1536884,CC(=O)Nc1ccc(\C=C\c2ccnc3ccccc23)cc1[N+](=O)[O-],CHEMBL2359695
2138003,CC1=C(CN=C(O)c2cnn(Cc3ccc(NC(=NC4CC4)O)cc3)c2)C(=CC(=N)N1)C,CHEMBL3928632
2022140,C[C@H]1COCCN1c2nc(nc3nc(ccc23)c4ccc(N)nc4)N5CCC(CC5)c6ccncc6,CHEMBL3688952
277539,Cc1cc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)CSc4cc(Cl)ccc4Cl)C3=O)C(=O)O)cc(CCC(=O)O)[n+]1CCCN.OC(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F,CHEMBL354536
1020957,COc1cc(Cl)ccc1N=C(S)N(CCN2CCOCC2)C3CCN(CC3)C(=O)C,CHEMBL1597073
1755227,CN(C)CC(Br)c1cccc(Br)c1,CHEMBL3277177
232125,Nc1c(C#N)[n+]([O-])c2cc(Cl)ccc2[n+]1[O-],CHEMBL138165
1165940,COc1cc2CCN([C@H]3Cc4cc5OCOc5cc4c(c1OC)c23)S(=O)(=O)C,CHEMBL1808247
1035377,CC(C)[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](C)C(=O)NC1CCc2ccccc2C1.OC=O,CHEMBL1611493
1173481,CC(=O)N(O)CCCc1nnn[nH]1,CHEMBL1823391
657965,NN1CCC[C@H]1C(=O)N2C(C[C@@H]3C[C@H]23)C#N,CHEMBL1184015
1364817,CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,CHEMBL2087157
706917,CC(=O)Nc1ccc2Nc3n[nH]cc3N=C(c4ccccc4Cl)c2c1,CHEMBL1257912
1972343,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)Cn2cc(nn2)c3ccccc3)C(C)C)ccc1OC,CHEMBL3635069
327512,CN(C)CCc1c(C)[nH]c2ccc(Cl)cc12,CHEMBL365751
1430213,CC(CNCc1ccc2OCOc2c1)[C@H]3CCC4=CC5=C(O[C@H]4C3)C=C(C)OC5=O,CHEMBL2170726
351355,Cc1ccc(c2cc(Br)ccc2OCc3c(F)cccc3F)n1c4cccc(c4)C(=O)O,CHEMBL211534
1001563,Fc1ccc(C(=O)NNC(=O)c2ccc(cc2)n3cnnn3)c(F)c1,CHEMBL1577679
824601,CCC1(C)N=C(N)Nc2nc3cc(C)c(C)cc3n12,CHEMBL1400717
987058,CC1=CC=CN2C(=O)c3cc(C(=O)NCCN4CCOCC4)n(C)c3N=C12,CHEMBL1563174
156014,OCc1cc(NC(=O)CN2CCCCC2)cc(Nc3ccnc4cc(Cl)ccc34)c1,CHEMBL98566
1334254,CCCCCCCCCCCCCNC(=O)[C@H](CO)\N=C\c1ccccc1,CHEMBL2013187
2052651,COc1cc(cc2c1nc(C)c3c(C)nc(c4cccnc4F)n23)C#N,CHEMBL3741518
708291,Cc1ccc(cc1)C(=O)c2c[nH]c(n2)c3ccccc3,CHEMBL1269063
2036497,NC1(CCC1)c2ccc(cc2)c3nc4ccc(OC[N+]#[C-])cn4c3c5ccccc5,CHEMBL3703166
644042,CC(C)C[C@@H]1CN2[C@@H](C)CN=C2N1CCC34CC5CC(CC(C5)C3)C4,CHEMBL1162503
1441858,CN(C)c1ccc(\C=C\c2cnc(\C=C\c3ccc(cc3)N(C)C)cn2)cc1,CHEMBL2181037
943947,Cc1cc(C)n2c(SCc3ccc(Cl)cc3Cl)nnc2n1,CHEMBL1520063
2130916,Cc1ccc2c(c1)nc(NC(=O)c3cccc(c3)C(F)(F)F)n2C4CN(C4)C(=O)C=C,CHEMBL3921545
1232783,CC(=O)NCCNC(=O)c1ccc(NC2=NC3CS(=O)(=O)CC3S2)cc1,CHEMBL1892212
401630,OC(=O)[C@H](CNC(=O)NCc1ccccc1)NC(=O)[C@@H]2CCCN2S(=O)(=O)c3c(Cl)cccc3Cl,CHEMBL238567
1575181,[O-][N+](=O)c1ccc(cc1)C(=O)Oc2cccc3oc(cc23)c4ccccc4,CHEMBL2413951
1299483,CC(=O)c1cccc(c1)c2ccnc3OC(Cc23)C(=O)NCC4CCOCC4,CHEMBL1978192
997584,CCOC(=O)NC1(NCc2ccccc2)Oc3ccccc3O1,CHEMBL1573700
1529157,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c2ncc([nH]2)c3ccc(cc3)c4cccc(c4)C(F)(F)F,CHEMBL2347330
989456,[Br-].CC(C(=O)c1ccc(cc1)c2ccccc2)[n+]3cccc(Br)c3,CHEMBL1565572
1821052,COc1ccc(cc1)c2ccnc(NCCc3ccc(OC)c(OC)c3)n2,CHEMBL3356909
1235898,CCOC(=O)c1cccc(NC(=O)N2CC(CC)Oc3ccccc23)c1,CHEMBL1895327
1005471,O=C(C1C2N(CCc3ccccc23)C(=O)c4ccccc14)N5CCN(Cc6ccccc6)CC5,CHEMBL1581587
1628060,CN[C@H]1C[C@@H](N)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H]3O[C@]4(O[C@H]([C@H](N)CO)[C@H](O)[C@H](O)[C@H]4O)O[C@H]23)[C@@H]1O,CHEMBL3138729
1281561,COc1ccc(cc1)C(CC(=O)CCc2ccc3cc(OC)ccc3c2)Nc4ccc(cc4)S(=O)(=O)Nc5cc(C)on5,CHEMBL1956044
937409,CN(CC(=O)Nc1ccc(F)c(F)c1F)C(=O)c2ccc3N4CCCCCC4=NS(=O)(=O)c3c2,CHEMBL1513525
977577,CC(=O)Nc1ccc(S[C@@H](CCN2CC[C@@H](CCC2=O)C(C)(C)C)c3ccccc3)cc1,CHEMBL1553693
794356,Oc1nc(CN2CCN(Cc3ccccc3)CC2)nc4sc5CCCc5c14,CHEMBL1370472
300587,CCOC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)cc1,CHEMBL179590
89103,CCN(CC)CCCC(C)N[C@@H]1[C@@H](OC(=O)c2ccc(C)cc2)[C@H](C)Nc3ccccc13,CHEMBL61366
1699118,C\C(=C/C(=[NH+]c1ccccc1)C)\Nc2ccccc2.[O-]Cl(=O)(=O)=O,CHEMBL3209827
1244807,Oc1nnc(SCC(=O)N2CCOCC2)n1c3ccccc3,CHEMBL1904236
1902657,CC(C)c1nccn1CCCNC(=O)c2ccc(nc2)N(C)C,CHEMBL3486583
1431029,CNc1ccc2[nH]c3cnc(NCc4ccccc4)cc3c2c1,CHEMBL2171534
401811,CC1CN(CCN1S(=O)(=O)c2c[nH]c3ncccc23)C(=O)c4ccc5[nH]ccc5c4,CHEMBL240477
912713,CC(OC(=O)C1CCC1)C(=O)Nc2cccc(c2)C(=O)C,CHEMBL1488829
1885070,CSC(C)(C)CNC(=O)NC1CCSCC1,CHEMBL3468996
1352649,CCOC(=O)CCCCCOc1cccc(CN(C(C)C)C(=O)c2ccc(cc2)c3cccc(CC(=O)O)c3)c1,CHEMBL2049209
2134975,Nc1ncnc2c1nc(Sc3cc4OCOc4cc3Br)n2CCCCCC(=O)NO,CHEMBL3925604
1683028,Cc1cc([nH]n1)c2nnc(S)n2\N=C\c3ccc(Br)s3,CHEMBL3193737
2181596,COCCCOc1cc(cc2cnn(C)c12)[C@H](C)N(C3CC3)C(=O)[C@@H]4CNCCO4,CHEMBL3972225
419093,CONC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)NCc4ccccc4)c(C)c23)c1,CHEMBL437971
169917,CN1CCOCCn2cc(C3=C(C(=O)NC3=O)c4cn(CCN(C)CC1)c5ccccc45)c6ccccc26,CHEMBL106384
461886,o1c2ccccc2c3nc4ccccc4cc13,CHEMBL490142
257167,OC(=O)C1=C(CCC1)C(=O)Nc2c(F)cc(cc2F)c3ccccc3Cl,CHEMBL345147
288982,Cn1nnnc1SCC2=C(N3C(OC2)C(NC(=O)C(O)c4ccccc4)C3=O)C(=O)O,CHEMBL368062
1487143,CCC(C(O)(Cn1cncn1)c2ccc(F)cc2)[Si](C)(C)C,CHEMBL2269846
602230,CCCNC(=O)[C@H](Cc1ccccc1)NC(=O)CN2C(=O)C(=Nc3ccccc23)C,CHEMBL603452
