"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"Polar Surface Area"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"CX Acidic pKa"	"CX Basic pKa"	"CX LogP"	"CX LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA (Lipinski)"	"HBD (Lipinski)"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Molecular Species"	"Molecular Formula"	"Smiles"
"CHEMBL4202566"	""	""	"Small molecule"	"0"	"414.38"	"10"	"10"	"3.53"	"54.34"	"4"	"1"	"0"	"9"	"N"	"0.73"	"None"	"8.34"	"3.45"	"2.46"	"2"	"MOL"	"-1"	"26"	"5"	"1"	"0"	"377.1870"	"NEUTRAL"	"C20H29Cl2N3O2"	"CCCCn1cc(C(=O)NCCN(CC)CC)c(=O)c2ccc(Cl)cc21.Cl"
"CHEMBL471552"	""	""	"Small molecule"	"0"	"271.36"	"1"	"1"	"3.85"	"49.93"	"2"	"1"	"0"	"6"	"N"	"0.64"	"10.74"	"None"	"4.86"	"4.86"	"2"	"MOL"	"-1"	"20"	"3"	"1"	"0"	"271.1572"	"NEUTRAL"	"C17H21NO2"	"CCCCCC(=O)c1c[nH]c2ccc(CC)cc2c1=O"
"CHEMBL1782636"	""	""	"Small molecule"	"0"	"367.58"	"4"	"6"	"7.35"	"22.00"	"2"	"0"	"1"	"13"	"N"	"0.34"	"None"	"3.20"	"8.07"	"8.07"	"2"	"MOL"	"-1"	"27"	"2"	"0"	"1"	"367.2875"	"NEUTRAL"	"C25H37NO"	"CCCCCCCCC/C=C/c1cc(=O)c2ccccc2n1CCCCC"
"CHEMBL3818743"	""	""	"Small molecule"	"0"	"473.54"	"2"	"2"	"4.33"	"73.37"	"9"	"0"	"0"	"3"	"N"	"0.39"	"None"	"5.70"	"3.29"	"3.28"	"5"	"MOL"	"-1"	"34"	"8"	"0"	"0"	"473.1434"	"NEUTRAL"	"C24H20FN7OS"	"Cn1cc(-c2cc(F)c3nnc(Sc4ccc5ncc6c(c5c4)OC[C@@H]4CCCN64)n3c2)cn1"
"CHEMBL4217376"	""	""	"Small molecule"	"0"	"355.84"	"10"	"10"	"2.13"	"65.20"	"3"	"2"	"0"	"7"	"N"	"0.77"	"11.68"	"9.14"	"1.89"	"0.15"	"2"	"MOL"	"-1"	"23"	"5"	"2"	"0"	"319.1696"	"BASE"	"C17H23ClFN3O2"	"CCN(CC)CCCNC(=O)c1c[nH]c2cc(F)ccc2c1=O.Cl"
"CHEMBL2236166"	""	""	"Small molecule"	"0"	"302.72"	"8"	"8"	"1.64"	"100.87"	"4"	"3"	"0"	"1"	"N"	"0.21"	"11.23"	"2.52"	"1.93"	"1.93"	"3"	"MOL"	"-1"	"21"	"6"	"4"	"0"	"302.0571"	"NEUTRAL"	"C14H11ClN4O2"	"Cc1cc(Cl)nc2ccc3c(=O)c(C(=O)NN)c[nH]c3c12"
"CHEMBL1643849"	""	""	"Small molecule"	"0"	"351.53"	"2"	"3"	"6.64"	"22.00"	"2"	"0"	"1"	"11"	"N"	"0.33"	"None"	"2.53"	"7.28"	"7.28"	"2"	"MOL"	"-1"	"26"	"2"	"0"	"1"	"351.2562"	"NEUTRAL"	"C24H33NO"	"CCCCCCCCCC/C=C/C=C/c1cc(=O)c2ccccc2n1C"
"CHEMBL4079878"	""	""	"Small molecule"	"0"	"275.31"	"3"	"3"	"2.89"	"56.49"	"5"	"0"	"0"	"1"	"N"	"0.54"	"None"	"5.78"	"2.14"	"2.13"	"4"	"MOL"	"-1"	"21"	"5"	"0"	"0"	"275.1171"	"NEUTRAL"	"C16H13N5"	"Cc1cc(-c2ccc3ncc4nnn(C)c4c3c2)ccn1"
"CHEMBL488285"	""	""	"Small molecule"	"0"	"347.46"	"2"	"6"	"5.08"	"49.93"	"2"	"1"	"1"	"8"	"N"	"0.58"	"10.74"	"None"	"6.44"	"6.44"	"3"	"MOL"	"-1"	"26"	"3"	"1"	"1"	"347.1885"	"NEUTRAL"	"C23H25NO2"	"CCCCC(=O)c1c[nH]c2ccc(CCCc3ccccc3)cc2c1=O"
"CHEMBL565123"	""	""	"Small molecule"	"0"	"342.76"	"3"	"3"	"4.62"	"48.03"	"4"	"0"	"0"	"2"	"N"	"0.53"	"None"	"None"	"4.28"	"4.28"	"4"	"MOL"	"-1"	"24"	"4"	"0"	"0"	"342.0571"	"NEUTRAL"	"C18H12ClFN2O2"	"CCn1cc(-c2nc3ccccc3o2)c(=O)c2cc(F)c(Cl)cc21"
"CHEMBL203301"	""	""	"Small molecule"	"0"	"259.30"	"3"	"3"	"2.89"	"59.30"	"3"	"1"	"0"	"5"	"N"	"0.84"	"6.24"	"0.60"	"3.14"	"1.96"	"2"	"MOL"	"-1"	"19"	"4"	"1"	"0"	"259.1208"	"ACID"	"C15H17NO3"	"CCCCCn1cc(C(=O)O)c(=O)c2ccccc21"
"CHEMBL1643830"	""	""	"Small molecule"	"0"	"367.58"	"2"	"3"	"6.95"	"22.00"	"2"	"0"	"1"	"13"	"N"	"0.28"	"None"	"2.90"	"7.93"	"7.93"	"2"	"MOL"	"-1"	"27"	"2"	"0"	"1"	"367.2875"	"NEUTRAL"	"C25H37NO"	"CCCCCCCCC/C=C\CCCCc1cc(=O)c2ccccc2n1C"
"CHEMBL478120"	"MARBOFLOXACIN"	"MARBOFLOXACIN|Marbofloxacin"	"Small molecule"	"0"	"362.36"	"17"	"64"	"0.51"	"78.25"	"7"	"1"	"0"	"2"	"N"	"0.83"	"5.23"	"6.13"	"-0.20"	"-1.20"	"2"	"MOL"	"0"	"26"	"8"	"1"	"0"	"362.1390"	"ACID"	"C17H19FN4O4"	"CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1"
"CHEMBL1782634"	""	""	"Small molecule"	"0"	"335.49"	"4"	"6"	"5.79"	"22.00"	"2"	"0"	"1"	"10"	"N"	"0.40"	"None"	"0.01"	"6.53"	"6.53"	"2"	"MOL"	"-1"	"25"	"2"	"0"	"1"	"335.2249"	"NEUTRAL"	"C23H29NO"	"C#CCn1c(/C=C/CCCCCCCCC)cc(=O)c2ccccc21"
"CHEMBL550197"	""	""	"Small molecule"	"0"	"424.45"	"3"	"3"	"3.91"	"63.30"	"6"	"1"	"0"	"3"	"N"	"0.54"	"None"	"8.69"	"3.81"	"2.50"	"4"	"MOL"	"-1"	"31"	"6"	"1"	"0"	"424.1711"	"BASE"	"C23H22F2N4O2"	"CCn1cc(-c2nc3ccccc3o2)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21"
"CHEMBL381491"	""	""	"Small molecule"	"0"	"259.30"	"1"	"1"	"3.07"	"59.42"	"4"	"1"	"0"	"4"	"N"	"0.86"	"10.66"	"1.74"	"4.24"	"4.24"	"2"	"MOL"	"-1"	"19"	"4"	"1"	"0"	"259.1208"	"NEUTRAL"	"C15H17NO3"	"CCCc1ccc2ncc(C(=O)OCC)c(O)c2c1"
"CHEMBL4085242"	""	""	"Small molecule"	"0"	"369.40"	"2"	"2"	"4.79"	"56.49"	"5"	"0"	"0"	"3"	"N"	"0.46"	"None"	"4.72"	"4.30"	"4.30"	"5"	"MOL"	"-1"	"28"	"5"	"0"	"0"	"369.1390"	"NEUTRAL"	"C22H16FN5"	"C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4cccnc4)cc3c21"
"CHEMBL1256109"	""	""	"Small molecule"	"0"	"159.19"	"14"	"20"	"1.84"	"32.86"	"1"	"1"	"0"	"0"	"Y"	"0.62"	"None"	"1.17"	"2.15"	"2.15"	"2"	"MOL"	"-1"	"12"	"2"	"1"	"0"	"159.0684"	"NEUTRAL"	"C10H9NO"	"Cc1cc(=O)c2ccccc2[nH]1"
"CHEMBL1782620"	""	""	"Small molecule"	"0"	"297.44"	"4"	"6"	"5.40"	"22.00"	"2"	"0"	"1"	"8"	"N"	"0.60"	"None"	"2.87"	"5.77"	"5.77"	"2"	"MOL"	"-1"	"22"	"2"	"0"	"1"	"297.2093"	"NEUTRAL"	"C20H27NO"	"CCCCCCC/C=C/c1cc(=O)c2ccccc2n1CC"
"CHEMBL520411"	""	""	"Small molecule"	"0"	"345.44"	"2"	"5"	"4.88"	"49.93"	"2"	"1"	"0"	"5"	"N"	"0.67"	"10.71"	"None"	"5.82"	"5.82"	"3"	"MOL"	"-1"	"26"	"3"	"1"	"0"	"345.1729"	"NEUTRAL"	"C23H23NO2"	"O=C(CC1CCCC1)c1c[nH]c2ccc(Cc3ccccc3)cc2c1=O"
"CHEMBL206540"	""	"GNF-Pf-4421|MMV007116"	"Small molecule"	"0"	"245.28"	"81"	"133"	"2.68"	"59.42"	"4"	"1"	"0"	"3"	"N"	"0.84"	"10.67"	"1.74"	"3.80"	"3.80"	"2"	"MOL"	"-1"	"18"	"4"	"1"	"0"	"245.1052"	"NEUTRAL"	"C14H15NO3"	"CCOC(=O)c1cnc2ccc(CC)cc2c1O"
"CHEMBL1782627"	""	""	"Small molecule"	"0"	"323.48"	"4"	"6"	"5.95"	"22.00"	"2"	"0"	"1"	"10"	"N"	"0.39"	"None"	"2.34"	"6.59"	"6.59"	"2"	"MOL"	"-1"	"24"	"2"	"0"	"1"	"323.2249"	"NEUTRAL"	"C22H29NO"	"C=CCn1c(/C=C/CCCCCCCC)cc(=O)c2ccccc21"
"CHEMBL1643840"	""	""	"Small molecule"	"0"	"437.71"	"2"	"3"	"8.90"	"22.00"	"2"	"0"	"1"	"18"	"N"	"0.17"	"None"	"2.90"	"10.15"	"10.15"	"2"	"MOL"	"-1"	"32"	"2"	"0"	"1"	"437.3658"	"NEUTRAL"	"C30H47NO"	"CCCCCCCCCC/C=C\CCCCCCCCc1cc(=O)c2ccccc2n1C"
"CHEMBL202969"	""	"GNF-Pf-3645"	"Small molecule"	"0"	"259.31"	"5"	"8"	"3.24"	"59.42"	"4"	"1"	"0"	"3"	"N"	"0.86"	"10.65"	"1.73"	"4.08"	"4.08"	"2"	"MOL"	"-1"	"19"	"4"	"1"	"0"	"259.1208"	"NEUTRAL"	"C15H17NO3"	"CCOC(=O)c1cnc2ccc(C(C)C)cc2c1O"
"CHEMBL1210954"	"BALOFLOXACIN"	"BALOFLOXACIN"	"Small molecule"	"0"	"389.43"	"12"	"41"	"2.37"	"83.80"	"6"	"2"	"0"	"5"	"N"	"0.82"	"5.49"	"9.56"	"-0.44"	"-0.43"	"2"	"MOL"	"0"	"28"	"7"	"2"	"0"	"389.1751"	"ZWITTERION"	"C20H24FN3O4"	"CNC1CCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1"
"CHEMBL561113"	""	""	"Small molecule"	"0"	"390.87"	"2"	"2"	"5.19"	"65.12"	"3"	"3"	"1"	"4"	"N"	"0.45"	"7.33"	"4.84"	"4.68"	"4.34"	"4"	"MOL"	"-1"	"28"	"4"	"3"	"1"	"390.1135"	"NEUTRAL"	"C23H19ClN2O2"	"CNc1ccc(Cc2cccc(-c3c(O)c4ccc(Cl)cc4[nH]c3=O)c2)cc1"
"CHEMBL1643845"	""	""	"Small molecule"	"0"	"397.65"	"2"	"3"	"7.95"	"22.00"	"2"	"0"	"1"	"16"	"N"	"0.26"	"None"	"2.90"	"9.18"	"9.18"	"2"	"MOL"	"-1"	"29"	"2"	"0"	"1"	"397.3345"	"NEUTRAL"	"C27H43NO"	"CCCCCCCCCCCCCCCCCc1cc(=O)c2ccccc2n1C"
"CHEMBL4205146"	""	""	"Small molecule"	"0"	"416.75"	"10"	"10"	"2.75"	"65.20"	"3"	"2"	"0"	"7"	"N"	"0.73"	"11.84"	"9.14"	"2.51"	"0.78"	"2"	"MOL"	"-1"	"23"	"5"	"2"	"0"	"379.0895"	"BASE"	"C17H23BrClN3O2"	"CCN(CC)CCCNC(=O)c1c[nH]c2cc(Br)ccc2c1=O.Cl"
"CHEMBL551210"	""	""	"Small molecule"	"0"	"406.47"	"14"	"24"	"2.70"	"91.97"	"6"	"3"	"0"	"3"	"N"	"0.46"	"9.79"	"8.67"	"2.15"	"1.07"	"4"	"MOL"	"-1"	"30"	"7"	"4"	"0"	"406.1917"	"BASE"	"C22H23FN6O"	"CCn1cc(-c2nc3ccc(N)cc3[nH]2)c(=O)c2cc(F)c(N3CCNCC3)cc21"
